Neighborhood,Acres,Canopy Acres,Canopy%,Impervious Acres,Grass/Low Veg. Acres,Bare Soil Acres,Water Acres,Preferred Plantable Acres,Potential UTC
Noralto,292.52,57.23,19.56,109.24,68.92,57.13,0,119.36,60.37
North City Farms,406.22,82.28,20.26,230.89,56.35,36.7,0,92.96,43.14
North Oak Park,348.98,116.5,33.38,186.65,37.7,8.12,0,45.82,46.51
Northgate,340.18,60.08,17.66,174.74,91.06,13.86,0.43,74.03,39.42
Northpointe,122.82,19.48,15.86,69.56,25.64,8.15,0,33.79,43.37
Norwood I-80,45.42,3.83,8.43,29.79,5.68,5.13,1,10.8,32.21
Norwood Tech,68.09,9.94,14.6,47.56,8.84,1.04,0.71,9.88,29.11
Oak Knoll,161.31,15.01,9.3,63.23,31.19,50.98,0.89,79.78,58.76
Old North Sacramento,436.87,62.3,14.26,289.22,59.94,25.42,0,83.69,33.42
Old Sacramento,139.38,16.32,11.71,76.5,7.91,8.79,29.85,16.7,23.7
Parker Homes,43.81,12.42,28.36,20.45,6.51,4.42,0,10.85,53.13
Parkway,1371.93,220.15,16.05,824.23,209.69,111.8,6.06,259.18,34.94
Pell/Main Industrial Park,227.01,11.4,5.02,178.11,24.92,12.58,0,31.88,19.06
Pocket,2850.3,628.63,22.05,1403.1,513.5,60.34,244.73,543.51,41.12
Point West,390.56,77.02,19.72,225.26,74.68,10.28,3.33,79.2,40
Power Ridge,323.83,9.67,2.99,246.25,17.94,49.96,0,67.9,23.96
Raley Industrial Park,1070.83,66.11,6.17,316.44,61.88,616.54,9.84,649.66,66.84
Ramona Village,326.58,18.75,5.74,231.21,30.31,46.3,0,62.39,24.85
Regency Park,362.95,46.68,12.86,198.16,78.9,29.18,10.03,75.12,33.56
Richardson Village,139.31,17.07,12.26,58.99,48.17,15.06,0.01,28.14,32.45
Richmond Grove,143.32,50.1,34.96,79,12.25,1.97,0,14.21,44.88
River Gardens,173.71,42.61,24.53,77.13,49.51,4.46,0,44.04,49.88
River Park,491.99,176.37,35.85,181.76,96.01,12.91,24.94,101.22,56.42
Robla,1481.68,192.32,12.98,360.65,230.78,687.81,10.12,741.61,63.03
RP - Sports Complex,931.99,84.72,9.09,355.36,104.35,372.24,15.32,450.58,57.44
SCC,71.85,7.77,10.81,50.97,11.14,1.97,0,3.5,15.67
Sierra Oaks,248.55,77.71,31.26,142.82,26.04,1.99,0,14.61,37.14
South City Farms,132.99,32.03,24.09,67.71,27.06,6.18,0,31.8,48
South Hagginwood,435.83,105.85,24.29,196.07,91.77,41.4,0.73,131.22,54.39
South Land Park,1810.41,481.22,26.58,971.27,307.15,38.7,12.07,308.86,43.64
South Natomas,1903.27,409.12,21.5,862.77,375.83,251.14,4.41,542.32,49.99
South Oak Park,367.94,80.92,21.99,187.78,76.25,22.98,0,74.17,42.15
Southeast Village,338.31,43.56,12.88,187.93,85.35,20.26,1.21,96.07,41.27
Southern Pacific / Richards,789.88,79.28,10.04,418.39,81.43,169.85,40.92,250.06,41.7
Southside Park,214.16,76.23,35.6,108.05,24.47,1.34,4.06,25.82,47.65
Strawberry Manor,231.68,28.64,12.36,96.35,67.71,35.51,3.48,100.56,55.76
Sundance Lake,796.26,50,6.28,359.57,93.35,241.43,51.91,330.7,47.81
Swanston Estates,301.21,55.06,18.28,187.52,49.64,8.99,0,55.15,36.59
Tahoe Park,409.35,128.1,31.29,197.6,81.84,1.82,0,70.54,48.53
Tahoe Park East,171.76,20.3,11.82,111.1,29.94,10.42,0,16.44,21.39
Tahoe Park South,201.75,60.9,30.18,94.36,45.62,0.87,0,46.49,53.23
Tallac Village,183.16,43.83,23.93,92.72,39.94,6.67,0,46.61,49.38
Upper Land Park,643.75,179.18,27.83,269.6,97.87,26.91,70.18,93.68,42.39
Valley Hi / North Laguna,3533.7,578.83,16.38,1887.42,623.27,431.73,12.45,874.63,41.13
Valleyview Acres,145.01,11.12,7.67,13.12,34.21,86.5,0.05,119.24,89.9
Village 12,12121.15,17.83,14.72,77.83,18.2,7.29,0,19.42,30.74
Village 14,14121.29,32.92,27.14,22.43,30.88,35.07,0,65.94,81.51
Village 5,5313.11,27.6,8.81,111.28,26.37,127.23,20.63,135.84,52.2
Village 7,7162.74,4.75,2.92,71.29,44.83,41.88,0,86.12,55.83
Village Green,51.84,9.8,18.91,28.51,11.3,2.23,0,9.33,36.91
West Del Paso Heights,322.9,60.6,18.77,121.03,91.71,49.1,0.47,140.8,62.37
West Tahoe Park,136.05,39.11,28.74,76.88,18.91,1.16,0,20.07,43.49
Westlake,446.27,44.93,10.07,214.36,61.53,107.27,18.18,161.92,46.35
Willowcreek,597.13,109.75,18.38,240.93,75.34,139.33,31.8,188.18,49.89
Wills Acres,119.66,19.31,16.14,51.89,42.65,5.8,0,27.23,38.89
Woodbine,346.74,47.27,13.63,187.34,62.89,49.24,0,75.94,35.53
Woodlake,230.76,71.67,31.06,94.29,42.73,21.55,0.51,58.71,56.5
Youngs Heights,44.81,8.23,18.37,22.02,8.21,6.36,0,14.56,50.87
Z'berg Park,314.2,69.38,22.08,137.09,63.13,44.07,0.52,107.21,56.2
